id_vaga,cargo,data_abertura,data_esperada_contratacao,data_contratacao
5193,Desenvolvedor Back-End,2025-07-05,2025-10-01,2025-10-10
8265,Desenvolvedor Back-End,2025-08-15,2025-10-05,2025-10-15
5487,Desenvolvedor Back-End,2025-09-10,2025-09-30,2025-10-15
3182,Analista de Dados,2025-07-20,2025-10-10,2025-10-05
6239,Analista de Dados,2025-08-05,2025-11-20,2025-11-22
2491,Analista de Dados,2025-09-30,2025-12-10,2025-12-08
9941,UX Designer,2025-06-12,2025-10-05,2025-10-02
4548,UX Designer,2025-07-18,2025-11-25,2025-11-28
5239,UX Designer,2025-08-25,2025-12-20,2025-12-18
6928,UX Designer,2025-09-05,2025-12-15,2025-12-20
